date,cryptocurrency,open,close,high,low,avg,volatility,missing_hours
2026-04-22,BNB,640.27,640.27,640.27,640.27,640.27,,23
2026-04-22,BTC,77480.0,77478.0,77480.0,77460.0,77472.66666666667,11.015141094571323,21
2026-04-22,DOGE,0.096358,0.096358,0.096358,0.096358,0.096358,,23
2026-04-22,ETH,2362.46,2364.7,2364.7,2362.32,2363.16,1.3355148819833673,21
2026-04-22,FIGR_HELOC,1.034,1.034,1.034,1.034,1.034,,23
2026-04-22,SOL,87.08,87.08,87.08,87.08,87.08,,23
2026-04-22,TRX,0.331918,0.331918,0.331918,0.331918,0.331918,,23
2026-04-22,USDC,0.999822,0.999822,0.999822,0.999822,0.999822,,23
2026-04-22,USDT,1.0,1.0,1.0,1.0,1.0,,23
2026-04-22,XRP,1.45,1.45,1.45,1.45,1.45,,23
